country,founded,id,industry,linkedin_url,locality,name,region,size,website,country_iso2
canada,2023,midnight-legion,computer games,linkedin.com/company/midnight-legion,vancouver,midnight legion esports,british columbia,1-10,twitch.tv/midnightlegionesports,CA
saudi arabia,2023,floaty-studio,computer games,linkedin.com/company/floaty-studio,riyadh,floaty studio,ar riyāḑ,1-10,,SA
turkey,2023,semka-games,computer games,linkedin.com/company/semka-games,,yucca games,kuetahya,1-10,,TR
estonia,2023,darkhunter-studios,computer games,linkedin.com/company/darkhunter-studios,tallinn,darkhunter studios,harjumaa,1-10,darkhunterstudio.com,EE
turkey,2023,bal-akademi,computer games,linkedin.com/company/bal-akademi,,bal akademi,istanbul,1-10,balakademi.com,TR
,2023,chopsquad,computer games,linkedin.com/company/chopsquad,,chop squad,,1-10,,
brazil,2023,mato-games,computer games,linkedin.com/company/mato-games,porto velho,mato games | game stúdio,rondonia,1-10,matogames.com.br,BR
france,2023,insetstudios,computer games,linkedin.com/company/insetstudios,paris,inset studios,ile-de-france,1-10,,FR
,2023,not-evil-studios,computer games,linkedin.com/company/not-evil-studios,,not evil studios,,1-10,notevilstudios.co.uk,
india,2023,kyrel,computer games,linkedin.com/company/kyrel,delhi,kyrel,delhi,11-50,,IN
united states,2023,arkenzo-interactive,computer games,linkedin.com/company/arkenzo-interactive,los angeles,arkenzo interactive,california,1-10,arkenzointeractive.com,US
united states,2023,reddeathgames,computer games,linkedin.com/company/reddeathgames,san francisco,red death game studios,california,1-10,reddeathgames.tech,US
united states,2023,rallyhere,computer games,linkedin.com/company/rallyhere,alpharetta,rallyhere,georgia,51-200,rallyhere.gg,US
turkey,2023,devstopia,computer games,linkedin.com/company/devstopia,,devstopia,eskisehir,1-10,devstopia.net,TR
united kingdom,2023,spectropia-studios-ltd,computer games,linkedin.com/company/spectropia-studios-ltd,london,spectropia studios ltd,england,1-10,spectropiastudios.co.uk,GB
united kingdom,2023,rum-punch-games,computer games,linkedin.com/company/rum-punch-games,hebden bridge,rum punch games,calderdale,1-10,rumpunchgames.com,GB
united states,2023,the-esports-advocate,computer games,linkedin.com/company/the-esports-advocate,adams,the esports advocate,massachusetts,1-10,esportsadvocate.net,US
,2023,exitact-games,computer games,linkedin.com/company/exitact-games,,exitact,,1-10,exitact.com,
india,2023,jadestudiosindia,computer games,linkedin.com/company/jadestudiosindia,bengaluru,jadestudios,karnataka,1-10,,IN
pakistan,2023,lumen-interactive-studios,computer games,linkedin.com/company/lumen-interactive-studios,bahawalpur,lumen interactive studios,punjab,1-10,,PK
hong kong,2023,skysurfergames,computer games,linkedin.com/company/skysurfergames,hong kong,skysurfer games,central and western,1-10,skysurfergames.com,HK
ireland,2023,galactica-games,computer games,linkedin.com/company/galactica-games,rathcoole,galactica games,dublin,1-10,,IE
canada,2023,baobabgames,computer games,linkedin.com/company/baobabgames,montreal,baobab games,quebec,1-10,,CA
poland,2023,astroscope-app,computer games,linkedin.com/company/astroscope-app,warsaw,astroscope,mazovia,1-10,,PL
france,2023,spacereset,computer games,linkedin.com/company/spacereset,bordeaux,spacereset,nouvelle-aquitaine,1-10,space-reset.com,FR
singapore,2023,mobile-gaming-brew,computer games,linkedin.com/company/mobile-gaming-brew,singapore,mobile gaming brew,central singapore,1-10,mobilegamingbrew.com,SG
turkey,2023,yuyuto-games,computer games,linkedin.com/company/yuyuto-games,,yuyuto games,istanbul,1-10,yuyutogames.com,TR
,2023,betwixt-labs,computer games,linkedin.com/company/betwixt-labs,,betwixt labs,,1-10,betwixtlabs.com,
spain,2023,sonumgames,computer games,linkedin.com/company/sonumgames,madrid,sonum games,madrid,1-10,sonumgames.es,ES
,2023,boshar-gaming,computer games,linkedin.com/company/boshar-gaming,,boshar gaming,,1-10,boshargaming.com,
turkey,2023,vellichor-games,computer games,linkedin.com/company/vellichor-games,,vellichor games,istanbul,1-10,vellichorgames.com,TR
france,2023,opusmajor,computer games,linkedin.com/company/opusmajor,paris,opusmajor,ile-de-france,11-50,opusmajor.io,FR
turkey,2023,pinabidijital,computer games,linkedin.com/company/pinabidijital,,pinabi,bursa,1-10,,TR
turkey,2023,toxon-games,computer games,linkedin.com/company/toxon-games,,toxon games,i̇zmir,1-10,toxongames.com,TR
united kingdom,2023,other5-games,computer games,linkedin.com/company/other5-games,london,other5 games ltd,greater london,1-10,other5.xyz,GB
,2023,tubrgame,computer games,linkedin.com/company/tubrgame,,tubr,,1-10,,
united states,2023,dark-mode-games,computer games,linkedin.com/company/dark-mode-games,boston,dark mode games,massachusetts,1-10,github.com/orgs/darkmodegames,US
,2023,gurupool,computer games,linkedin.com/company/gurupool,,gurupool,,1-10,gurupool.online,
,2023,cravex-games,computer games,linkedin.com/company/cravex-games,,cravex games,,1-10,cravexgames.com,
brazil,2023,gam3studio,computer games,linkedin.com/company/gam3studio,,gam3 studio,,1-10,gam3studio.com,BR
turkey,2023,mteegames,computer games,linkedin.com/company/mteegames,,mtee games,istanbul,1-10,mteegames.com,TR
,2023,bezerq,computer games,linkedin.com/company/bezerq,,bezerq,,1-10,bezerq.com,
united arab emirates,2023,boltable-stuido,computer games,linkedin.com/company/boltable-stuido,abu dhabi,boltable studio,abu dhabi,1-10,boltablestudio.com,AE
australia,2022,kuppyclans,computer games,linkedin.com/company/kuppyclans,sydney,kuppy clans,new south wales,1-10,kuppyclans.com,AU
czechia,2022,terahype,computer games,linkedin.com/company/terahype,,terahype,,1-10,terahype.com,CZ
romania,2022,alkotech-labs,computer games,linkedin.com/company/alkotech-labs,craiova,alkotech labs,dolj,1-10,,RO
united kingdom,2022,dash-games,computer games,linkedin.com/company/dash-games,london,dash games,greater london,1-10,dashgames.co,GB
,2022,game-for-education-and-cultural-heritage,computer games,linkedin.com/company/game-for-education-and-cultural-heritage,,game for education and cultural heritage,,11-50,,
canada,2022,lotus-labs-gaming,computer games,linkedin.com/company/lotus-labs-gaming,vancouver,lotus labs gaming,british columbia,1-10,,CA
,2022,winlivenow,computer games,linkedin.com/company/winlivenow,,win live,,1-10,win-live.com,
,2022,hocus-inc,computer games,linkedin.com/company/hocus-inc,,hocus,,1-10,hocus.ai,
poland,2022,rinner-kult,computer games,linkedin.com/company/rinner-kult,,rinner kult,,11-50,,PL
turkey,2022,scapcher-games,computer games,linkedin.com/company/scapcher-games,ankara,scapcher games,ankara,1-10,scapchergames.com,TR
singapore,2022,redshield-games,computer games,linkedin.com/company/redshield-games,singapore,redshield games,central singapore,11-50,,SG
tunisia,2022,kicksoft-tn,computer games,linkedin.com/company/kicksoft-tn,,kicksoft,tūnis,1-10,,TN
belarus,2022,gamemod-team,computer games,linkedin.com/company/gamemod-team,,gamemod llc,,51-200,,BY
united states,2022,mapuzo-outpost,computer games,linkedin.com/company/mapuzo-outpost,great falls,mapuzo outpost,virginia,1-10,,US
united states,2022,sidogg,computer games,linkedin.com/company/sidogg,austin,sido,texas,1-10,sido.gg,US
,2022,metacraft-studio,computer games,linkedin.com/company/metacraft-studio,,metacraft decentralized game studio,,1-10,stormgate.io,
united states,2022,hamp-studios,computer games,linkedin.com/company/hamp-studios,los angeles,hamp studios,california,1-10,hampstudios.com,US
united states,2022,bluwings-technologies-llc,computer games,linkedin.com/company/bluwings-technologies-llc,,bluwings technologies llc,california,1-10,bluwingstechnologies.com,US
peru,2022,jamcritterstudio,computer games,linkedin.com/company/jamcritterstudio,lima,jam critter studio,lima,1-10,jamcritterstudio.itch.io,PE
israel,2022,pwr-games,computer games,linkedin.com/company/pwr-games,,pwr-games,,1-10,,IL
israel,2022,uniqa-entertainment,computer games,linkedin.com/company/uniqa-entertainment,,uniqa entertainment,,11-50,uniqaentertainment.com,IL
cyprus,2022,brickworks-games,computer games,linkedin.com/company/brickworks-games,,brickworks games,limassol,51-200,brickworksgames.com,CY
united kingdom,2022,the-fitness-resort,computer games,linkedin.com/company/the-fitness-resort,,the fitness resort,oxfordshire,1-10,,GB
brazil,2022,undev-games,computer games,linkedin.com/company/undev-games,vinhedo,undev games,sao paulo,1-10,youtube.com/@undevgames,BR
costa rica,2022,aloki-io,computer games,linkedin.com/company/aloki-io,portalon,alóki,puntarenas,11-50,aloki.io,CR
,2022,gamercoins,computer games,linkedin.com/company/gamercoins,,gamercoins,,1-10,gamercoins.com,
pakistan,2022,gamenock,computer games,linkedin.com/company/gamenock,,gamenock,,11-50,gamenock.com,PK
india,2022,arcade-gaming-lounge,computer games,linkedin.com/company/arcade-gaming-lounge,delhi,arcade gaming lounge,delhi,11-50,,IN
italy,2022,melon-method-softworks,computer games,linkedin.com/company/melon-method-softworks,padova,melon method softworks,veneto,1-10,,IT
australia,2022,girlbyte,computer games,linkedin.com/company/girlbyte,,girlbyte,,1-10,,AU
united states,2022,project-arithmos,computer games,linkedin.com/company/project-arithmos,seattle,project arithmos,washington,1-10,project-arithmos.io,US
netherlands,2022,basecampus,computer games,linkedin.com/company/basecampus,egmond-binnen,basecampus,noord-holland,1-10,basecampus.nl,NL
netherlands,2022,beeyou-games,computer games,linkedin.com/company/beeyou-games,enschede,beeyou games,overijssel,1-10,,NL
turkey,2022,rustlegames,computer games,linkedin.com/company/rustlegames,,rustle games,kocaeli,1-10,rustlegames.com,TR
ukraine,2022,dream-make,computer games,linkedin.com/company/dream-make,,dream make,,1-10,dream-make.com,UA
united kingdom,2022,buck-eejit-games,computer games,linkedin.com/company/buck-eejit-games,belfast,buck eejit games,belfast,1-10,buckeejit.games,GB
pakistan,2022,octa-edge-technologies-private-limited,computer games,linkedin.com/company/octa-edge-technologies-private-limited,sargodha,octa edge technologies private limited,punjab,11-50,octaedgetech.com,PK
serbia,2022,dreamline-entertainment-doo-novi-sad,computer games,linkedin.com/company/dreamline-entertainment-doo-novi-sad,novi sad,dreamline entertainment doo novi sad,vojvodina,11-50,,RS
brazil,2022,globstudio,computer games,linkedin.com/company/globstudio,,glob studio,sao paulo,11-50,twitter.com/globstudionft,BR
czechia,2022,neronian-studios,computer games,linkedin.com/company/neronian-studios,prague,neronian studios,praha,1-10,neronianstudios.com,CZ
canada,2022,moonspiregames,computer games,linkedin.com/company/moonspiregames,vancouver,moonspire games,british columbia,1-10,moonspiregames.com,CA
pakistan,2022,thinkdomestudio,computer games,linkedin.com/company/thinkdomestudio,lahore,think dome studio,punjab,11-50,thinkdomestudio.com,PK
